construction	frequency
по словам разработчиков	592
ожидая	591
детей	588
друзья	588
заключается в том	585
показывают	584
личности	584
отмечалось	581
по мнению аналитиков	580
по мнению авторов	577
по официальным данным	576
видите ли	576
на вопрос	575
полагая	574
нельзя сказать	570
исследование показало	567
– так	565
он понимал	563
строго говоря	563
убедившись	562
ученые считают	560
мне показалось	560
по его данным	559
– думаю	559
это не значит	556
как и ожидалось	555
важно отметить	550
как сообщалось ранее	549
чтобы проверить	548
речь	547
но оказалось	544
как сообщает тасс	544
ага	541
а возможно	541
понять	538
при условии	537
по словам специалиста	534
профессор	531
глядя	531
якобы	530
компании	530
– кроме того	528
точно так же	527
мы видим	525
сказать	524
рассказал	522
утверждает	521
в россии	521
как стало известно	521
по словам авторов	521
отмечая	520
я полагаю	518
уверена	517
женщины	513
нужно	511
проект	508
чтобы убедиться	507
смартфоны	506
кафе	505
далее	503
обучения	502
надо отметить	501
среди тех	501
по прогнозам	501
по нашему мнению	500
как отмечается	499
отец	498
будем надеяться	498
на кадрах видно	498
необходимо отметить	497
не важно	495
смотри	495
неважно	491
мне казалось	489
как считается	487
а именно	487
– ага	487
бесспорно	485
эксперты считают	485
думается	483
она подчеркнула	483
верно	483
сказали	482
в том случае	480
они считают	479
по словам министра	479
что произошло	479
видишь	479
деньги	478
думал	478
госпожа	478
с тех пор	477
мы надеемся	477
она рассказала	476
непонятно	476
девушка	475
утверждается	475
– хорошо	473
по данным росстата	472
он заметил	472
как видите	470
я уверена	470
предмет	469
по их данным	468
по словам учёных	467
анализ показал	466
признаться	464
позже выяснилось	461
думая	461
лучше	461
ваше высочество	461
трех глав	461
энергетики	460
удостоверяющий личность	458
как и раньше	457
студенты	456
компания	456
он обратил внимание	456
помимо того	455
работы	455
я вижу	455
возбуждено уголовное дело	455
пояснив	454
опасаясь	453
мы понимаем	452
простите	452
ит бизнес	451
– например	450
эксперты отмечают	449
мальчик	449
капитан	449
причём	448
я видел	448
напоминаем	447
но главное	444
уверены	444
думаете	444
увидел	439
что человек	439
ученые	439
показывая	439
культуры	438
заявила	437
ученые отмечают	437
родители	436
он не знал	434
школы	433
понимаю	433
ему казалось	433
сказала	431
по информации издания	429
больше	429
помнится	429
необходимо	428
добавляя	428
а точнее	426
узнать	426
было установлено	424
проблемы	423
очень важно	422
по оценкам	422
игры	421
медленно	420
исследователи полагают	417
кстати говоря	416
не понимая	415
пока неизвестно	415
девочки	414
заявили	414
представляете	414
ты же знаешь	414
– наверное	414
– к сожалению	414
чем обычно	412
отмечает	412
по данным агентства	411
новинка	411
исходя из этого	410
вообще говоря	410
уточнив	409
по имеющимся данным	408
он видел	408
было отмечено	407
состоит в том	407
ученые предполагают	406
экология	405
как предполагается	405
…	405
мы уверены	404
стоит сказать	403
учителя	403
вопрос	403
что интересно	402
в этом году	401
чтобы определить	401
по всей вероятности	400
последнее	400
ему показалось	399
к несчастью	398
я подумал	398
людям	397
глядишь	397
правильно	396
имя	395
бывало	395
и я думаю	394
говорит о том	393
по предварительной версии	393
документы	392
место	390
по оценкам экспертов	390
устройство	389
по словам президента	389
исследователи отмечают	389
ученые обнаружили	389
девочка	389
частности	388
решил	388
по её словам	387
говорится	387
я думала	387
по сути дела	386
он почувствовал	385
специалисты отмечают	384
мужчины	383
он чувствовал	383
стоит заметить	381
известно также	381
по моему мнению	381
объект	381
папа	380
и правда	380
– я	380
хранение	379
как ты думаешь	379
– сказал он	378
учащихся	377
как говорят	376
я помню	376
по словам врачей	376
книги	373
я поняла	372
и казалось	372
по словам источника	372
однажды	372
наверняка	371
накануне стало известно	371
но я думаю	371
результаты	371
по мнению учёных	371
раньше	370
делая вид	370
она сказала	370
дома	369
и все же	368
в таком случае	368
насколько мне известно	367
по словам путина	367
он также сообщил	367
теоретически	367
в прошлом году	366
работа	366
я слышал	365
исследования показали	365
как видно	365
в конечном счете	364
наблюдая	364
– да нет	364
военнослужащие рвсн	364
стоит добавить	363
граждане	363
наверху	363
господин	363
было видно	362
обычно	361
знают	359
надо полагать	359
мы не знаем	358
в конечном итоге	357
игра	357
вздохнув	356
говорил	355
пошли	355
по традиции	354
обернувшись	354
тяжело дыша	353
– слушай	353
специалисты считают	352
насколько я знаю	352
фотографии	351
отмечу	351
либо	351
если хотите	351
но мне кажется	349
исследователи считают	349
– но	349
водитель	348
недавно	348
что случилось	347
на ваш взгляд	346
овощи	346
подчеркивается	346
средства	346
– не знаю	346
– ничего	346
помимо всего прочего	345
как отмечает издание	345
последний	344
развития	344
психологии	344
дорогая	344
сахар	343
среди прочего	343
он также заявил	343
на его взгляд	343
никто	343
авторы отмечают	343
утверждают	342
и оказалось	342
это объясняется тем	341
цель	341
думала	341
исследователи обнаружили	341
он заверил	340
обнаружив	340
как раньше	340
вода	339
apple	339
эксперты полагают	338
а вообще	337
считай	337
стало ясно	337
он решил	337
– вот	337
технологии	336
в настоящее время	335
на следующий день	335
отмечено	335
приятно	334
бизнес	334
подумав	334
говоря	333
вон	333
– все	332
он говорит	332
представляешь	331
повернувшись	331
что нужно	330
по предварительным оценкам	330
молодой человек	329
признаюсь	329
извини	329
можно подумать	328
не дай бог	328
фрукты	328
эй	328
я не хочу	328
как водится	327
в чем дело	327
система	327
насколько я понимаю	327
брат	327
черт	327
друг мой	327
труда	326
культура	326
точно	326
стороны	326
хочешь	326
вопросы	325
видео	325
подчеркнул	325
означает	325
в москве	324
достаточно сказать	323
действия	323
я не думаю	322
расскажите	321
ученые полагают	321
представьте себе	321
мышления	321
музыка	320
с учетом того	320
по разным оценкам	320
чтобы показать	320
– знаешь	320
принято считать	319
он уверен	319
в тот момент	319
пытаясь понять	319
знает	318
по словам женщины	317
жалко	317
напомнив	317
здравоохранения	316
сегодня утром	315
глава региона отметил	315
а также то	315
уже известно	315
обнаружилось	315
согласно исследованию	314
потаенная страна	314
google	314
спрашивается	313
в дальнейшем	312
отметить	311
она увидела	310
оно	309
– дим	309
как вы понимаете	308
они обнаружили	308
вспомнив	308
– действительно	308
напомним также	307
как назло	307
связи	306
модель	306
посмотреть	306
я решил	306
в конечном счёте	305
благо	304
вдобавок	302
она заявила	302
подумаешь	302
– и	302
сообщив	301
известно лишь	301
по мере того	301
вспомните	300
требования к назначению	300
продукты	299
поняла	299
а это означает	299
вне всякого сомнения	299
в смысле	299
об этом сегодня	298
наука	298
проблема	298
знал	298
дом	297
информация	297
как сообщает reuters	297
возраст	297
улыбаясь	296
специалисты	296
студентов	296
господа	296
информация о том	296
ты думаешь	296
– спасибо	296
соль	295
повторюсь	295
задач	294
видите	294
складское	294
знаний	293
хотелось бы	293
согласно проекту	293
как вы думаете	293
чувашская республика	293
в ведомстве отметили	292
хочется	291
да и вообще	291
прежде	291
затаив дыхание	291
врачи	290
исследования показывают	290
хорошо еще	290
заявляя	289
прямо скажем	289
установить	289
слова	289
чтобы увидеть	289
учёные полагают	289
по словам губернатора	288
свидетельствует о том	288
по информации сми	288
– кстати	288
яйца	287
доказано	287
строительство	287
и наоборот	287
двух глав	287
волжского	286
она поняла	286
характерно	286
издание отмечает	286
больше того	286
– ты	286
условия	285
учитывая то	285
честное слово	285
эльфы	285
милорд	285
надо заметить	284
в противном случае	284
видно было	284
видишь ли	284
не удивительно	283
сообщили	283
по словам медиков	282
вижу	282
– возможно	282
посмотри	281
отмечается также	281
могу сказать	281
полагают	281
психология и психиатрия	281
что важно	280
мы хотим	280
в этом случае	280
он утверждает	280
иначе	279
каждый	279
но известно	279
он надеялся	279
условно говоря	279
видать	279
смежные земельные участки	279
как выяснилось позже	278
он также напомнил	278
аппарат	278
надо признать	278
ребенок	277
отвечая на вопрос	277
оглянувшись	277
планшетные пк	277
никто не знает	276
стоит напомнить	276
пойдем	276
для предоставления услуг	276
времени	275
благодаря тому	274
кстати сказать	274
при этом отмечается	274
вопрос о том	273
по оценкам специалистов	273
прости	273
недолго думая	272
он признался	272
как выясняется	272
ребенка	272
но думаю	272
я не знал	272
дтп	271
конкурсы	271
отмечают	271
они выяснили	271
подобно тому	271
инвестиции	271
по некоторым оценкам	270
школьников	270
нужно отметить	270
хотя бы потому	270
– то	270
исследователи выяснили	270
есть люди	269
кроме всего прочего	269
ситуация	269
ситуации	269
в данном случае	269
ты понимаешь	269
а наоборот	268
в общей сложности	268
по имеющейся информации	267
отметим также	267
мы полагаем	267
кроме прочего	267
знаете ли	267
торговое	267
многие	266
здорово	266
ибо	266
всякий раз	266
не стоит забывать	266
иди	266
что угодно	265
думали	265
и главное	265
эксперты	265
она считает	265
президентский бульвар	264
мысль о том	263
молоко	262
я бы сказал	262
тот самый	262
почувствовав	262
он вспомнил	262
я сказал	261
в сша	261
facebook	261
согласно закону	260
указав	260
экспертиза показала	260
свидетельствуют о том	260
по существу	260
по счастью	260
как человек	259
он знает	259
это означало	259
семьи	258
безопасность	258
энергетике	258
ранее считалось	258
системы	258
услышав	258
скажу	258
ты прав	258
– я думаю	258
как ни крути	257
некоторые	257
– а	257
полагает	256
зато	256
по данным ск	256
android	256
согласно статистике	255
документ	255
организации	255
планировалось	255
просто потому	255
показав	255
ей казалось	255
– о	255
волгоградской	254
совершенно очевидно	254
показала	254
ветераны	253
по словам чиновника	253
– знаете	253
вероятность того	252
– надеюсь	252
ну ладно	252
вроде бы	251
не забывайте	251
программа	251
умений	251
задыхаясь	251
сообщила	250
внимание	250
решили	250
притом	250
как мы знаем	250
спотыкаясь	250
черт возьми	250
школьники	249
просто	249
знания	249
общения	249
и я понял	249
откровенно говоря	248
скорей всего	248
позднее	248
